DocId,Namespace,Type,Member,Reason,linux,osx,win
"M:System.Activator.CreateInstance(System.Type,System.Reflection.BindingFlags,System.Reflection.Binder,System.Object[],System.Globalization.CultureInfo)",System,Activator,"CreateInstance(Type, BindingFlags, Binder, Object[], CultureInfo)",PNSE Unreachable,X,X,X
"M:System.Activator.CreateInstance(System.Type,System.Object[])",System,Activator,"CreateInstance(Type, Object[])",PNSE Unreachable,X,X,X
M:System.Console.get_CapsLock,System,Console,get_CapsLock(),Windows ok - PNSE on UWP,,,X
M:System.Console.get_NumberLock,System,Console,get_NumberLock(),Windows ok - PNSE on UWP,,,X
"M:System.ComponentModel.LicenseManager.CreateWithContext(System.Type,System.ComponentModel.LicenseContext,System.Object[])",System.ComponentModel,LicenseManager,"CreateWithContext(Type, LicenseContext, Object[])",PNSE Unreachable,X,X,X
M:System.ComponentModel.MaskedTextProvider.Clone,System.ComponentModel,MaskedTextProvider,Clone(),PNSE Unreachable,X,X,X
"M:System.ComponentModel.TypeDescriptionProvider.CreateInstance(System.IServiceProvider,System.Type,System.Type[],System.Object[])",System.ComponentModel,TypeDescriptionProvider,"CreateInstance(IServiceProvider, Type, Type[], Object[])",PNSE Unreachable,X,X,X
"M:System.ComponentModel.TypeDescriptor.CreateInstance(System.IServiceProvider,System.Type,System.Type[],System.Object[])",System.ComponentModel,TypeDescriptor,"CreateInstance(IServiceProvider, Type, Type[], Object[])",PNSE Unreachable,X,X,X
M:System.Data.Common.DataAdapter.CloneInternals,System.Data.Common,DataAdapter,CloneInternals(),PNSE Unreachable,X,X,X
M:System.Data.Common.DbDataAdapter.System#ICloneable#Clone,System.Data.Common,DbDataAdapter,System.ICloneable.Clone(),PNSE Unreachable,X,X,X
M:System.Diagnostics.Process.get_BasePriority,System.Diagnostics,Process,get_BasePriority(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_ExitCode,System.Diagnostics,Process,get_ExitCode(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_ExitTime,System.Diagnostics,Process,get_ExitTime(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_HandleCount,System.Diagnostics,Process,get_HandleCount(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_HasExited,System.Diagnostics,Process,get_HasExited(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_Id,System.Diagnostics,Process,get_Id(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_MachineName,System.Diagnostics,Process,get_MachineName(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_Modules,System.Diagnostics,Process,get_Modules(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_NonpagedSystemMemorySize,System.Diagnostics,Process,get_NonpagedSystemMemorySize(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_NonpagedSystemMemorySize64,System.Diagnostics,Process,get_NonpagedSystemMemorySize64(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PagedMemorySize,System.Diagnostics,Process,get_PagedMemorySize(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PagedMemorySize64,System.Diagnostics,Process,get_PagedMemorySize64(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PagedSystemMemorySize,System.Diagnostics,Process,get_PagedSystemMemorySize(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PagedSystemMemorySize64,System.Diagnostics,Process,get_PagedSystemMemorySize64(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PeakPagedMemorySize,System.Diagnostics,Process,get_PeakPagedMemorySize(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PeakPagedMemorySize64,System.Diagnostics,Process,get_PeakPagedMemorySize64(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PeakVirtualMemorySize,System.Diagnostics,Process,get_PeakVirtualMemorySize(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PeakVirtualMemorySize64,System.Diagnostics,Process,get_PeakVirtualMemorySize64(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PeakWorkingSet,System.Diagnostics,Process,get_PeakWorkingSet(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PeakWorkingSet64,System.Diagnostics,Process,get_PeakWorkingSet64(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PrivateMemorySize,System.Diagnostics,Process,get_PrivateMemorySize(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PrivateMemorySize64,System.Diagnostics,Process,get_PrivateMemorySize64(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_PrivilegedProcessorTime,System.Diagnostics,Process,get_PrivilegedProcessorTime(),Throws if remote but can't create remote instance,,X,
M:System.Diagnostics.Process.get_ProcessName,System.Diagnostics,Process,get_ProcessName(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_SafeHandle,System.Diagnostics,Process,get_SafeHandle(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_SessionId,System.Diagnostics,Process,get_SessionId(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.get_Threads,System.Diagnostics,Process,get_Threads(),Throws if remote but can't create remote instance,X,X,
