DocId,Namespace,Type,Member,linux,osx,win
"M:Microsoft.Win32.Registry.GetValue(System.String,System.String,System.Object)",Microsoft.Win32,Registry,"GetValue(String, String, Object)",X,X,
"M:Microsoft.Win32.Registry.SetValue(System.String,System.String,System.Object)",Microsoft.Win32,Registry,"SetValue(String, String, Object)",X,X,
"M:Microsoft.Win32.Registry.SetValue(System.String,System.String,System.Object,Microsoft.Win32.RegistryValueKind)",Microsoft.Win32,Registry,"SetValue(String, String, Object, RegistryValueKind)",X,X,
M:Microsoft.Win32.RegistryKey.Close,Microsoft.Win32,RegistryKey,Close(),X,X,
M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String),Microsoft.Win32,RegistryKey,CreateSubKey(String),X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,System.Boolean)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, Boolean)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,System.Boolean,Microsoft.Win32.RegistryOptions)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, Boolean, RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,Microsoft.Win32.RegistryOptions)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck, RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,Microsoft.Win32.RegistryOptions,System.Security.AccessControl.RegistrySecurity)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck, RegistryOptions, RegistrySecurity)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Security.AccessControl.RegistrySecurity)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck, RegistrySecurity)",X,X,
M:Microsoft.Win32.RegistryKey.DeleteSubKey(System.String),Microsoft.Win32,RegistryKey,DeleteSubKey(String),X,X,
"M:Microsoft.Win32.RegistryKey.DeleteSubKey(System.String,System.Boolean)",Microsoft.Win32,RegistryKey,"DeleteSubKey(String, Boolean)",X,X,
M:Microsoft.Win32.RegistryKey.DeleteSubKeyTree(System.String),Microsoft.Win32,RegistryKey,DeleteSubKeyTree(String),X,X,
"M:Microsoft.Win32.RegistryKey.DeleteSubKeyTree(System.String,System.Boolean)",Microsoft.Win32,RegistryKey,"DeleteSubKeyTree(String, Boolean)",X,X,
M:Microsoft.Win32.RegistryKey.DeleteValue(System.String),Microsoft.Win32,RegistryKey,DeleteValue(String),X,X,
"M:Microsoft.Win32.RegistryKey.DeleteValue(System.String,System.Boolean)",Microsoft.Win32,RegistryKey,"DeleteValue(String, Boolean)",X,X,
M:Microsoft.Win32.RegistryKey.Dispose,Microsoft.Win32,RegistryKey,Dispose(),X,X,
M:Microsoft.Win32.RegistryKey.Flush,Microsoft.Win32,RegistryKey,Flush(),X,X,
M:Microsoft.Win32.RegistryKey.get_Handle,Microsoft.Win32,RegistryKey,get_Handle(),X,X,
M:Microsoft.Win32.RegistryKey.get_SubKeyCount,Microsoft.Win32,RegistryKey,get_SubKeyCount(),X,X,
M:Microsoft.Win32.RegistryKey.get_ValueCount,Microsoft.Win32,RegistryKey,get_ValueCount(),X,X,
M:Microsoft.Win32.RegistryKey.GetAccessControl,Microsoft.Win32,RegistryKey,GetAccessControl(),X,X,
M:Microsoft.Win32.RegistryKey.GetAccessControl(System.Security.AccessControl.AccessControlSections),Microsoft.Win32,RegistryKey,GetAccessControl(AccessControlSections),X,X,
M:Microsoft.Win32.RegistryKey.GetSubKeyNames,Microsoft.Win32,RegistryKey,GetSubKeyNames(),X,X,
M:Microsoft.Win32.RegistryKey.GetValue(System.String),Microsoft.Win32,RegistryKey,GetValue(String),X,X,
"M:Microsoft.Win32.RegistryKey.GetValue(System.String,System.Object)",Microsoft.Win32,RegistryKey,"GetValue(String, Object)",X,X,
"M:Microsoft.Win32.RegistryKey.GetValue(System.String,System.Object,Microsoft.Win32.RegistryValueOptions)",Microsoft.Win32,RegistryKey,"GetValue(String, Object, RegistryValueOptions)",X,X,
M:Microsoft.Win32.RegistryKey.GetValueKind(System.String),Microsoft.Win32,RegistryKey,GetValueKind(String),X,X,
M:Microsoft.Win32.RegistryKey.GetValueNames,Microsoft.Win32,RegistryKey,GetValueNames(),X,X,
"M:Microsoft.Win32.RegistryKey.OpenBaseKey(Microsoft.Win32.RegistryHive,Microsoft.Win32.RegistryView)",Microsoft.Win32,RegistryKey,"OpenBaseKey(RegistryHive, RegistryView)",X,X,
"M:Microsoft.Win32.RegistryKey.OpenRemoteBaseKey(Microsoft.Win32.RegistryHive,System.String)",Microsoft.Win32,RegistryKey,"OpenRemoteBaseKey(RegistryHive, String)",X,X,
"M:Microsoft.Win32.RegistryKey.OpenRemoteBaseKey(Microsoft.Win32.RegistryHive,System.String,Microsoft.Win32.RegistryView)",Microsoft.Win32,RegistryKey,"OpenRemoteBaseKey(RegistryHive, String, RegistryView)",X,X,
M:Microsoft.Win32.RegistryKey.OpenSubKey(System.String),Microsoft.Win32,RegistryKey,OpenSubKey(String),X,X,
"M:Microsoft.Win32.RegistryKey.OpenSubKey(System.String,System.Boolean)",Microsoft.Win32,RegistryKey,"OpenSubKey(String, Boolean)",X,X,
"M:Microsoft.Win32.RegistryKey.OpenSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck)",Microsoft.Win32,RegistryKey,"OpenSubKey(String, RegistryKeyPermissionCheck)",X,X,
