DocId,Namespace,Type,Member,Site,linux,osx,win
"M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.Int32)",Internal.Runtime.CompilerServices,Unsafe,"Add<T>(T, Int32)","M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.Int32)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.IntPtr)",Internal.Runtime.CompilerServices,Unsafe,"Add<T>(T, IntPtr)","M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.IntPtr)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.Add``1(System.Void*,System.Int32)",Internal.Runtime.CompilerServices,Unsafe,"Add<T>(Void*, Int32)","M:Internal.Runtime.CompilerServices.Unsafe.Add``1(System.Void*,System.Int32)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.AddByteOffset``1(``0@,System.IntPtr)",Internal.Runtime.CompilerServices,Unsafe,"AddByteOffset<T>(T, IntPtr)","M:Internal.Runtime.CompilerServices.Unsafe.AddByteOffset``1(``0@,System.IntPtr)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.AreSame``1(``0@,``0@)",Internal.Runtime.CompilerServices,Unsafe,"AreSame<T>(T, T)","M:Internal.Runtime.CompilerServices.Unsafe.AreSame``1(``0@,``0@)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.As``1(System.Object),Internal.Runtime.CompilerServices,Unsafe,As<T>(Object),M:Internal.Runtime.CompilerServices.Unsafe.As``1(System.Object),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.As``2(``0@),Internal.Runtime.CompilerServices,Unsafe,"As<TFrom, TTo>(TFrom)",M:Internal.Runtime.CompilerServices.Unsafe.As``2(``0@),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.AsPointer``1(``0@),Internal.Runtime.CompilerServices,Unsafe,AsPointer<T>(T),M:Internal.Runtime.CompilerServices.Unsafe.AsPointer``1(``0@),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.AsRef``1(System.Void*),Internal.Runtime.CompilerServices,Unsafe,AsRef<T>(Void*),"M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.ByteOffset``1(``0@,``0@)",Internal.Runtime.CompilerServices,Unsafe,"ByteOffset<T>(T, T)","M:Internal.Runtime.CompilerServices.Unsafe.ByteOffset``1(``0@,``0@)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.InitBlockUnaligned(System.Byte@,System.Byte,System.UInt32)",Internal.Runtime.CompilerServices,Unsafe,"InitBlockUnaligned(Byte, Byte, UInt32)","M:Internal.Runtime.CompilerServices.Unsafe.AddByteOffset<T:System.Byte>(System.Byte@,System.IntPtr)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.Read``1(System.Byte@),Internal.Runtime.CompilerServices,Unsafe,Read<T>(Byte),"M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.Read``1(System.Void*),Internal.Runtime.CompilerServices,Unsafe,Read<T>(Void*),"M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Byte@),Internal.Runtime.CompilerServices,Unsafe,ReadUnaligned<T>(Byte),M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Byte@),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Void*),Internal.Runtime.CompilerServices,Unsafe,ReadUnaligned<T>(Void*),M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Void*),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.SizeOf``1,Internal.Runtime.CompilerServices,Unsafe,SizeOf<T>(),M:Internal.Runtime.CompilerServices.Unsafe.SizeOf``1,X,X,X
