Name,ModuleName
abort,api-ms-win-crt-runtime-l1-1-0.dll
abs,api-ms-win-crt-utility-l1-1-0.dll
accept,ws2_32.dll
AcceptEx,mswsock.dll
acos,api-ms-win-crt-math-l1-1-0.dll
acosf,api-ms-win-crt-math-l1-1-0.dll
acosh,api-ms-win-crt-math-l1-1-0.dll
acoshf,api-ms-win-crt-math-l1-1-0.dll
acoshl,api-ms-win-crt-math-l1-1-0.dll
AcquireSRWLockExclusive,api-ms-win-core-synch-l1-1-0.dll
AcquireSRWLockExclusive,api-ms-win-core-synch-l1-2-0.dll
AcquireSRWLockExclusive,api-ms-win-core-synch-l1-2-1.dll
AcquireSRWLockExclusive,api-ms-win-downlevel-kernel32-l1-1-0.dll
AcquireSRWLockExclusive,kernel32.dll
AcquireSRWLockShared,api-ms-win-core-synch-l1-1-0.dll
AcquireSRWLockShared,api-ms-win-core-synch-l1-2-0.dll
AcquireSRWLockShared,api-ms-win-core-synch-l1-2-1.dll
AcquireSRWLockShared,api-ms-win-downlevel-kernel32-l1-1-0.dll
AcquireSRWLockShared,kernel32.dll
ActivateAudioInterface,PhoneAudioSes.dll
ActivateAudioInterfaceAsync,mmdevapi.dll
AddAccessAllowedAce,advapi32.dll
AddAccessAllowedAce,api-ms-win-downlevel-advapi32-l1-1-0.dll
AddAccessAllowedAce,api-ms-win-downlevel-advapi32-l1-1-1.dll
AddAccessAllowedAce,api-ms-win-security-base-l1-1-0.dll
AddAccessAllowedAce,api-ms-win-security-base-l1-2-0.dll
AddAccessAllowedAce,api-ms-win-security-base-l1-2-1.dll
AddAccessAllowedAce,api-ms-win-security-base-l1-2-2.dll
AddAccessAllowedAceEx,advapi32.dll
AddAccessAllowedAceEx,api-ms-win-downlevel-advapi32-l1-1-0.dll
AddAccessAllowedAceEx,api-ms-win-downlevel-advapi32-l1-1-1.dll
AddAccessAllowedAceEx,api-ms-win-security-base-l1-1-0.dll
AddAccessAllowedAceEx,api-ms-win-security-base-l1-2-0.dll
AddAccessAllowedAceEx,api-ms-win-security-base-l1-2-1.dll
AddAccessAllowedAceEx,api-ms-win-security-base-l1-2-2.dll
AddAce,advapi32.dll
AddAce,api-ms-win-downlevel-advapi32-l1-1-0.dll
AddAce,api-ms-win-downlevel-advapi32-l1-1-1.dll
AddAce,api-ms-win-security-base-l1-1-0.dll
