DocId,Namespace,Type,Member
M:System.AppContext.GetData(System.String),System,AppContext,GetData(String)
M:System.AppContext.get_TargetFrameworkName,System,AppContext,get_TargetFrameworkName()
T:System.StringNormalizationExtensions,System,StringNormalizationExtensions,
T:System.Data.Common.DbColumn,System.Data.Common,DbColumn,
T:System.Data.Common.DbDataReaderExtensions,System.Data.Common,DbDataReaderExtensions,
T:System.Data.Common.IDbColumnSchemaGenerator,System.Data.Common,IDbColumnSchemaGenerator,
T:System.Diagnostics.StackFrameExtensions,System.Diagnostics,StackFrameExtensions,
T:System.Diagnostics.Tracing.EventCounter,System.Diagnostics.Tracing,EventCounter,
E:System.Diagnostics.Tracing.EventSource.EventCommandExecuted,System.Diagnostics.Tracing,EventSource,EventCommandExecuted
T:System.Globalization.GlobalizationExtensions,System.Globalization,GlobalizationExtensions,
"M:System.Linq.Enumerable.Append``1(System.Collections.Generic.IEnumerable{``0},``0)",System.Linq,Enumerable,"Append<TSource>(IEnumerable<TSource>, TSource)"
"M:System.Linq.Enumerable.Prepend``1(System.Collections.Generic.IEnumerable{``0},``0)",System.Linq,Enumerable,"Prepend<TSource>(IEnumerable<TSource>, TSource)"
M:System.Linq.Expressions.Expression`1.Compile(System.Boolean),System.Linq.Expressions,Expression<TDelegate>,Compile(Boolean)
M:System.Linq.Expressions.LambdaExpression.Compile(System.Boolean),System.Linq.Expressions,LambdaExpression,Compile(Boolean)
M:System.Net.Http.HttpClientHandler.get_CheckCertificateRevocationList,System.Net.Http,HttpClientHandler,get_CheckCertificateRevocationList()
M:System.Net.Http.HttpClientHandler.get_ClientCertificates,System.Net.Http,HttpClientHandler,get_ClientCertificates()
M:System.Net.Http.HttpClientHandler.get_DefaultProxyCredentials,System.Net.Http,HttpClientHandler,get_DefaultProxyCredentials()
M:System.Net.Http.HttpClientHandler.get_MaxConnectionsPerServer,System.Net.Http,HttpClientHandler,get_MaxConnectionsPerServer()
M:System.Net.Http.HttpClientHandler.get_MaxResponseHeadersLength,System.Net.Http,HttpClientHandler,get_MaxResponseHeadersLength()
M:System.Net.Http.HttpClientHandler.get_Properties,System.Net.Http,HttpClientHandler,get_Properties()
M:System.Net.Http.HttpClientHandler.get_ServerCertificateCustomValidationCallback,System.Net.Http,HttpClientHandler,get_ServerCertificateCustomValidationCallback()
M:System.Net.Http.HttpClientHandler.get_SslProtocols,System.Net.Http,HttpClientHandler,get_SslProtocols()
M:System.Net.Http.HttpClientHandler.set_CheckCertificateRevocationList,System.Net.Http,HttpClientHandler,set_CheckCertificateRevocationList()
M:System.Net.Http.HttpClientHandler.set_DefaultProxyCredentials,System.Net.Http,HttpClientHandler,set_DefaultProxyCredentials()
M:System.Net.Http.HttpClientHandler.set_MaxConnectionsPerServer,System.Net.Http,HttpClientHandler,set_MaxConnectionsPerServer()
M:System.Net.Http.HttpClientHandler.set_MaxResponseHeadersLength,System.Net.Http,HttpClientHandler,set_MaxResponseHeadersLength()
M:System.Net.Http.HttpClientHandler.set_ServerCertificateCustomValidationCallback,System.Net.Http,HttpClientHandler,set_ServerCertificateCustomValidationCallback()
M:System.Net.Http.HttpClientHandler.set_SslProtocols,System.Net.Http,HttpClientHandler,set_SslProtocols()
T:System.Net.Sockets.SocketReceiveFromResult,System.Net.Sockets,SocketReceiveFromResult,
T:System.Net.Sockets.SocketReceiveMessageFromResult,System.Net.Sockets,SocketReceiveMessageFromResult,
T:System.Net.Sockets.SocketTaskExtensions,System.Net.Sockets,SocketTaskExtensions,
T:System.Runtime.Serialization.DataContractSerializerExtensions,System.Runtime.Serialization,DataContractSerializerExtensions,
T:System.Runtime.Serialization.ISerializationSurrogateProvider,System.Runtime.Serialization,ISerializationSurrogateProvider,
T:System.Security.SecureStringMarshal,System.Security,SecureStringMarshal,
T:System.Security.Cryptography.ECCurve,System.Security.Cryptography,ECCurve,
M:System.Security.Cryptography.ECDsa.Create(System.Security.Cryptography.ECCurve),System.Security.Cryptography,ECDsa,Create(ECCurve)
M:System.Security.Cryptography.ECDsa.Create(System.Security.Cryptography.ECParameters),System.Security.Cryptography,ECDsa,Create(ECParameters)
M:System.Security.Cryptography.ECDsa.ExportExplicitParameters(System.Boolean),System.Security.Cryptography,ECDsa,ExportExplicitParameters(Boolean)
M:System.Security.Cryptography.ECDsa.ExportParameters(System.Boolean),System.Security.Cryptography,ECDsa,ExportParameters(Boolean)
M:System.Security.Cryptography.ECDsa.GenerateKey(System.Security.Cryptography.ECCurve),System.Security.Cryptography,ECDsa,GenerateKey(ECCurve)
M:System.Security.Cryptography.ECDsa.ImportParameters(System.Security.Cryptography.ECParameters),System.Security.Cryptography,ECDsa,ImportParameters(ECParameters)
T:System.Security.Cryptography.ECParameters,System.Security.Cryptography,ECParameters,
T:System.Security.Cryptography.ECPoint,System.Security.Cryptography,ECPoint,
T:System.Security.Cryptography.IncrementalHash,System.Security.Cryptography,IncrementalHash,
M:System.Text.RegularExpressions.Regex.get_CapNames,System.Text.RegularExpressions,Regex,get_CapNames()
M:System.Text.RegularExpressions.Regex.get_Caps,System.Text.RegularExpressions,Regex,get_Caps()
M:System.Text.RegularExpressions.Regex.set_CapNames,System.Text.RegularExpressions,Regex,set_CapNames()
M:System.Text.RegularExpressions.Regex.set_Caps,System.Text.RegularExpressions,Regex,set_Caps()
T:System.Threading.PreAllocatedOverlapped,System.Threading,PreAllocatedOverlapped,
T:System.Threading.ThreadPoolBoundHandle,System.Threading,ThreadPoolBoundHandle,
T:System.Xml.XPath.XDocumentExtensions,System.Xml.XPath,XDocumentExtensions,
